BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster
3.711392840255743,0.818182,4.558183394763755,-4.605170185988091,4.558183394763755,-4.605170185988091,0.166667,0.0,0.083333,0.0,-4.605170185988091,0.6981347220709843,6.907765278932137,5.307336987197076,4.93820643349666,0.0,12,0
8.071679981755391,0.909091,-4.605170185988091,-4.605170185988091,-4.605170185988091,8.77074263975578,0.0,0.0,0.0,0.25,1.3887912413184778,-4.605170185988091,8.853666856607859,8.319484074303967,6.977607983240254,0.222222,12,2
7.822107678302923,1.0,6.650511880470919,6.650511880470919,-4.605170185988091,-4.605170185988091,1.0,1.0,0.0,0.0,-4.605170185988091,2.485739636091892,8.922659632856845,6.433063464549787,6.441416584849772,0.0,12,4
7.418589227913474,0.636364,7.312560169194421,7.312560169194421,-4.605170185988091,5.326895187785014,0.083333,0.083333,0.0,0.083333,0.009950330853168,0.009950330853168,8.922659632856845,-4.605170185988091,-4.605170185988091,0.0,12,-1
6.706525281028393,1.0,2.773213527008624,2.773213527008624,-4.605170185988091,-4.605170185988091,0.083333,0.083333,0.0,0.0,-4.605170185988091,0.009950330853168,7.090085169074703,6.519655658698082,5.500446603729979,0.0,12,4
7.50099303244601,1.0,7.195404850905781,-4.605170185988091,7.195404850905781,-4.605170185988091,0.666667,0.0,0.583333,0.0,-4.605170185988091,2.080690761080268,7.495547499424379,7.244275921574619,7.786242803127324,0.0,12,0
6.441378354883739,1.0,8.86658447377668,8.764465684293027,6.534355537793758,-4.605170185988091,1.0,1.0,1.0,0.0,-4.605170185988091,4.159039321153912,9.510445705166989,8.756890856649248,5.288650260282998,1.0,12,5
7.508602253867172,1.0,6.078123778768389,-4.605170185988091,6.078123778768389,-4.605170185988091,1.0,0.0,1.0,0.0,-4.605170185988091,2.485739636091892,7.740668749733876,6.520731698765062,6.276726173893107,0.0,12,0
6.922581301339826,1.0,6.758675055967984,6.494509983555011,5.298367365298079,-4.605170185988091,0.333333,0.083333,0.25,0.0,-4.605170185988091,1.6114359150967734,8.853666856607859,6.53420818022963,5.742917956613304,0.0,12,5
5.025431784120261,0.545455,7.15587237903022,7.15587237903022,-4.605170185988091,-4.605170185988091,0.166667,0.166667,0.0,0.0,-4.605170185988091,1.1019400787607845,9.305651460871005,7.060288014357164,4.608287940735851,0.0,12,4
